,dataset,join,operator,time_baseline,time_amalur,complexity_baseline,complexity_amalur,TR,FR
66,expedia,outer,Left multiply T,0.033416032791137695,0.011707814534505208,25435935.0,6204558.0,22.67162383290018,1935.3703703703704
67,expedia,outer,Row summation T,0.0802339792251587,0.039373373985290526,25435935.0,6204558.0,22.67162383290018,1935.3703703703704
68,expedia,outer,Column summation T,0.029291756947835288,0.03917773564656576,25435935.0,6204558.0,22.67162383290018,1935.3703703703704
69,expedia,outer,LMM T,0.032459076245625815,0.10069797039031983,492825039790.0,492632726020.0,22.67162383290018,1935.3703703703704
70,expedia,outer,RMM T,0.33275357087453206,0.13474709987640382,32840578154410.0,15113406694396.0,22.67162383290018,1935.3703703703704
71,expedia,outer,Linear Regression,8.634976315498353,5.456681100527446,98565007958.0,100699175996.0,22.67162383290018,1935.3703703703704
72,flight,inner,Left multiply,0.0007468541463216146,0.0003057559331258138,1386261.0,102900.0,9.676893994474336,682.45
73,flight,inner,Row summation,0.001779945691426595,0.00173340638478597,1386261.0,102900.0,9.676893994474336,682.45
74,flight,inner,Column summation,0.004456798235575358,0.0023026466369628906,1386261.0,102900.0,9.676893994474336,682.45
75,flight,inner,Materialization,,0.017366735140482585,,,,
76,flight,inner,LMM,0.005653754870096842,0.010785905520121257,9110308730.0,10037492250.0,9.676893994474336,682.45
77,flight,inner,RMM,0.0013786713282267252,0.009273815155029296,20817217219.0,3274955710.0,9.676893994474336,682.45
78,flight,inner,Left multiply T,0.001085368792215983,0.00032991568247477213,1386261.0,102900.0,9.676893994474336,682.45
79,flight,inner,Row summation T,0.004457537333170573,0.002326782544453939,1386261.0,102900.0,9.676893994474336,682.45
80,flight,inner,Column summation T,0.001826930046081543,0.0023245890935262043,1386261.0,102900.0,9.676893994474336,682.45
81,flight,inner,LMM T,0.0015996217727661133,0.01064452330271403,9110308730.0,9097475120.0,9.676893994474336,682.45
82,flight,inner,RMM T,0.01663347880045573,0.011234807968139648,136539260068.0,55710658200.0,9.676893994474336,682.45
83,flight,inner,Linear Regression,0.4924863497416178,0.6059491634368896,1822061746.0,1913496737.0,9.676893994474336,682.45
84,flight,left,Left multiply,0.000780781110127767,0.00038050015767415366,1386261.0,102900.0,9.676893994474336,682.45
85,flight,left,Row summation,0.002313550313313802,0.00240630308787028,1386261.0,102900.0,9.676893994474336,682.45
86,flight,left,Column summation,0.004475514094034831,0.0027704238891601562,1386261.0,102900.0,9.676893994474336,682.45
87,flight,left,Materialization,,0.02432849407196045,,,,
88,flight,left,LMM,0.005689835548400879,0.012813758850097657,9110308730.0,10037492250.0,9.676893994474336,682.45
89,flight,left,RMM,0.0013612111409505208,0.011550617218017579,20817217219.0,3274955710.0,9.676893994474336,682.45
90,flight,left,Left multiply T,0.0012245893478393555,0.00036480426788330076,1386261.0,102900.0,9.676893994474336,682.45
91,flight,left,Row summation T,0.00444949467976888,0.0028290748596191406,1386261.0,102900.0,9.676893994474336,682.45
92,flight,left,Column summation T,0.0018157561620076497,0.002814356486002604,1386261.0,102900.0,9.676893994474336,682.45
93,flight,left,LMM T,0.001588916778564453,0.013300530115763346,9110308730.0,9097475120.0,9.676893994474336,682.45
